50609	0	34443	5934	321	2835	8721	8	25447	49467	132	367	27	17211	47	5009	10558	940	5928	40930	7	235557	4576	19587	508	27873	3344	459	3717	69	39933	24997	4087	14	4871	13054	903	7723	5001	21244	496	5226	661	449	54488	10230	2156	1666	184579	524	1764	42727	44	0	173042	1889	1	1391	

0	0	651	174	11	
16	243	0	2668	1885	
7	44	11	206	4	
196	770	0	441	2846	
1	6035	26	3186	88	
3419	751	25	265	3	
5247	10	646	0	1643	
2657	37	1540	379	3630	
27	10	0	0	1	
0	0	0	5202	5	
56	438	0	0	5047	
2	0	60	

0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	

0	172	827	8	7	
127	63	0	455	300	
2	0	0	84	0	
13	81	4	125	901	
0	11005	148	53	0	
121	2	2	10	0	
292	260	23	0	11	
32	7	14	16	51	
4	151	77	3	7608	
170	1131	16	903	3	
13	2267	0	0	6486	
359	0	36	

0	0	76	35	0	
0	0	0	1	80	
0	0	0	3	0	
5	3	0	20	4	
0	3	0	0	0	
0	0	0	0	0	
129	0	0	0	0	
2	0	2	0	2	
1	1	0	0	0	
0	0	0	5503	5	
23	2	0	0	34	
0	0	0	

0	6	12	0	0	
0	1	1	9	10	
0	0	0	3	0	
0	0	0	1	5	
0	54	17	2	0	
1	0	0	0	0	
2	1	0	0	0	
1	0	0	0	0	
0	0	0	0	15	
0	1	0	59	0	
8	2	0	0	106	
4	0	0	

0	36	11	5	0	
46	0	0	231	113	
0	1	0	38	0	
7	0	0	3	12	
0	265	7	2	0	
2	1	0	0	0	
23	0	1	0	3	
0	0	0	0	0	
1	18	0	0	150	
0	2	0	257	0	
0	218	0	0	1373	
7	0	2	

0	4	97	2	1	
60	145	0	40	16	
0	0	0	79	0	
4	58	0	42	71	
0	5553	20	2	1	
82	6	6	16	0	
17	3	14	0	3	
1	0	6	19	7	
0	14	1	0	799	
0	3	0	123	0	
3	807	0	0	588	
5	0	3	

0	1	1	0	0	
0	0	0	1	0	
0	0	0	0	0	
0	0	0	0	0	
0	2	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	1	
0	0	0	0	0	
0	0	0	0	2	
0	0	0	

0	1	994	183	6	
142	292	0	102	1585	
2	9	0	100	9	
128	261	0	231	640	
0	6494	31	304	12	
1107	88	15	93	1	
1410	8	121	0	107	
469	21	368	168	309	
7	19	0	0	2	
0	0	0	6145	14	
40	1804	0	0	1575	
0	0	30	

0	5	6327	481	41	
2	59	1	107	4289	
19	14	0	43	0	
440	18	1	289	820	
1	318	20	21	0	
39	4	3	3	4	
3564	13	27	0	44	
82	6	75	9	91	
4	29	1	0	239	
1	230	0	30517	35	
338	37	3	0	689	
9	0	55	

0	0	40	0	2	
0	0	0	0	1	
0	0	0	0	0	
0	0	0	1	6	
0	2	0	0	0	
0	0	0	0	0	
3	0	0	0	0	
0	0	2	0	5	
0	0	0	0	0	
0	0	0	65	0	
4	0	0	0	1	
0	0	0	

0	0	9	3	0	
0	0	0	1	58	
0	0	0	0	0	
5	1	0	0	2	
0	5	0	0	0	
4	0	0	1	0	
19	6	1	0	1	
2	0	7	1	3	
0	1	0	0	1	
0	0	0	220	0	
0	1	0	0	13	
1	0	1	

0	0	0	0	0	
0	0	0	0	0	
0	0	2	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	1	0	1	0	
0	0	0	0	23	
0	0	0	

0	26	181	144	3	
13	44	0	133	1238	
2	3	0	74	0	
77	32	1	79	666	
0	1240	27	23	1	
122	8	1	6	2	
419	35	38	0	29	
61	4	57	22	25	
0	67	0	0	1859	
2	2	1	4186	12	
